asin,main_url,last_visited,child_url,position,name
B06XTTWL2N,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:09,https://www.amazon.in/xoxobuy-Womens-Silk-Saree-Abc1122D_Blue/dp/B06XTTWL2N/,1,Women's Silk Saree (Abc1122D_Blue)
B07V1PMGTT,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:09,https://www.amazon.in/KANHA-Womens-Banarasi-Unique-Pattern/dp/B07V1PMGTT/,2,Women's Banarasi Silk Unique Pattern Saree with Blouse Piece (Blue)
B01NBL7GNE,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:09,https://www.amazon.in/Simaaya-Net-Saree-Sf-Vhpv31202_Fuchsia-White/dp/B01NBL7GNE/,3,Net Saree (Sf-Vhpv31202_Fuchsia And Off White)
B0825TFGJ8,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:09,https://www.amazon.in/narayan-Womens-Silk-Saree-Abc1122D_Blue/dp/B0825TFGJ8/,4,narayan Women's Silk Saree (Abc1122D_Blue)
B0825TCDB4,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:09,https://www.amazon.in/Narayan-fab-Crepe-Blouse-TT-12057SAPWCRE_Ivory_Free/dp/B0825TCDB4/,5,Crepe Saree with Blouse Piece (TT-12057SAPWCRE_Ivory_Free Size)
B08245F2RM,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:09,https://www.amazon.in/Estar-Moda-Killer-Black-banarasi/dp/B08245F2RM/,6,Killer Black banarasi silk saree
B081N3T4FW,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Khatri-Banarasi-Kutchi-Bandhani-Sarees/dp/B081N3T4FW/,7,Saree Khatri Upada Banarasi Kutchi Bandhani RED Pure Crepe Sarees
B081N3R3RB,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Khatri-Banarasi-Kutchi-Bandhani-Sarees/dp/B081N3R3RB/,8,Saree Khatri Upada Banarasi Kutchi Bandhani GREEN Pure Crepe Sarees
B081CKDJ9T,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Khatri-Gharchola-Bandhani-Handmade-Marron/dp/B081CKDJ9T/,9,Gaji Silk Gharchola Bandhani Saree Bandhani of kutch Handmade Marron
B081C8LN1J,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Khatri-Gharchola-Bandhani-Saree-Handmade/dp/B081C8LN1J/,10,Gaji Silk Gharchola Bandhani Saree Bandhani Kutch Handmade Blue - Sky
